Policy Scope,Policy Duration,Enforcement Intensity,Best Advocacy Method
National,Trial,Surveillance-Based,Podcast
Neighborhood,Long-Term,Moderate Enforcement,Citizen Report
International,Trial,Strict Enforcement,Lobby Group
County,Permanent,Community-Enforced,Op-ed
County,Long-Term,Surveillance-Based,Public Poll
Region,Trial,Surveillance-Based,Public Art
Region,Trial,Strict Enforcement,Influencer Collaboration
County,Trial,Light Enforcement,Lawsuit
International,Long-Term,Community-Enforced,Podcast
Continental,Trial,Punitive,Petition
Neighborhood,Short-Term,Surveillance-Based,Citizen Report
National,Temporary,Not Enforced,Citizen Report
City,Permanent,Strict Enforcement,Documentary
State,Long-Term,Not Enforced,Newsletter
Continental,Trial,Moderate Enforcement,Public Comment
National,Temporary,Surveillance-Based,Newsletter
Global,Short-Term,Moderate Enforcement,Influencer Collaboration
Continental,Trial,Punitive,GoFundMe Awareness
Continental,Short-Term,Strict Enforcement,Citizen Report
International,Temporary,Punitive,Influencer Collaboration
State,Long-Term,Minimal,Op-ed
Province,Permanent,Moderate Enforcement,Social Media Campaign
City,Medium-Term,Moderate Enforcement,Influencer Collaboration
City,Medium-Term,Punitive,Documentary
Region,Medium-Term,Not Enforced,GoFundMe Awareness
City,Long-Term,Not Enforced,Public Poll
City,Permanent,Not Enforced,Town Hall
Neighborhood,Trial,Not Enforced,Town Hall
Continental,Trial,Not Enforced,Protest
State,Long-Term,Minimal,Social Media Campaign
Continental,Permanent,Light Enforcement,Lawsuit
International,Permanent,Strict Enforcement,Influencer Collaboration
Global,Long-Term,Punitive,Town Hall
State,Temporary,Minimal,Podcast
Continental,Trial,Community-Enforced,Public Art
Region,Permanent,Minimal,Podcast
Neighborhood,Long-Term,Light Enforcement,Op-ed
Continental,Medium-Term,Strict Enforcement,Viral Video
State,Temporary,Symbolic Only,Social Media Campaign
National,Medium-Term,Minimal,Social Media Campaign
Neighborhood,Temporary,Light Enforcement,Petition
Global,Medium-Term,Punitive,Public Comment
National,Temporary,Community-Enforced,Social Media Campaign
Global,Temporary,Symbolic Only,Op-ed
State,Short-Term,Minimal,Meme Campaign
Continental,Permanent,Strict Enforcement,Podcast
City,Temporary,Moderate Enforcement,Town Hall
State,Temporary,Moderate Enforcement,Op-ed
International,Long-Term,Minimal,Meme Campaign
Cross-Border,Trial,Not Enforced,Academic Paper
County,Short-Term,Minimal,Meme Campaign
Global,Long-Term,Minimal,Op-ed
Global,Permanent,Punitive,Viral Video
National,Trial,Surveillance-Based,Direct Email to Representative
Continental,Temporary,Strict Enforcement,Join Advocacy Group
Province,Medium-Term,Strict Enforcement,Public Poll
Neighborhood,Long-Term,Surveillance-Based,Lawsuit
State,Trial,Strict Enforcement,Citizen Report
Continental,Long-Term,Strict Enforcement,Protest
International,Trial,Symbolic Only,Op-ed
Global,Short-Term,Symbolic Only,Social Media Campaign
Region,Permanent,Community-Enforced,Meme Campaign
Continental,Temporary,Symbolic Only,Podcast
Cross-Border,Permanent,Symbolic Only,Meme Campaign
Region,Medium-Term,Community-Enforced,Op-ed
Global,Long-Term,Not Enforced,Join Advocacy Group
City,Long-Term,Light Enforcement,Viral Video
Cross-Border,Short-Term,Moderate Enforcement,Op-ed
Region,Medium-Term,Strict Enforcement,Newsletter
Cross-Border,Short-Term,Surveillance-Based,Documentary
National,Temporary,Not Enforced,Direct Email to Representative
Province,Long-Term,Minimal,Social Media Campaign
National,Long-Term,Symbolic Only,Meme Campaign
International,Short-Term,Not Enforced,Social Media Campaign
Cross-Border,Medium-Term,Punitive,Viral Video
County,Temporary,Minimal,Op-ed
Neighborhood,Temporary,Community-Enforced,Public Comment
Continental,Permanent,Minimal,Meme Campaign
State,Temporary,Strict Enforcement,Town Hall
International,Temporary,Moderate Enforcement,Media Outreach
State,Short-Term,Surveillance-Based,Media Outreach
International,Permanent,Minimal,Op-ed
Neighborhood,Permanent,Strict Enforcement,Documentary
Neighborhood,Permanent,Punitive,Documentary
International,Long-Term,Moderate Enforcement,Documentary
City,Short-Term,Light Enforcement,Direct Email to Representative
Global,Permanent,Strict Enforcement,Citizen Report
Cross-Border,Temporary,Light Enforcement,Op-ed
State,Medium-Term,Symbolic Only,Social Media Campaign
County,Long-Term,Punitive,Op-ed
Neighborhood,Medium-Term,Minimal,Podcast
Cross-Border,Trial,Surveillance-Based,Public Art
Neighborhood,Trial,Not Enforced,Public Comment
County,Medium-Term,Symbolic Only,Podcast
City,Short-Term,Community-Enforced,Meme Campaign
City,Temporary,Community-Enforced,Petition
City,Long-Term,Minimal,Meme Campaign
International,Medium-Term,Not Enforced,Media Outreach
National,Trial,Moderate Enforcement,Public Art
International,Permanent,Light Enforcement,Town Hall
Continental,Permanent,Moderate Enforcement,GoFundMe Awareness
State,Permanent,Minimal,Meme Campaign
Province,Short-Term,Punitive,Citizen Report
Global,Permanent,Not Enforced,Viral Video
Cross-Border,Long-Term,Punitive,Academic Paper
State,Trial,Punitive,Lawsuit
International,Short-Term,Symbolic Only,Meme Campaign
State,Temporary,Strict Enforcement,Media Outreach
Global,Medium-Term,Community-Enforced,Protest
Province,Permanent,Strict Enforcement,Meme Campaign
State,Long-Term,Strict Enforcement,Public Art
Global,Temporary,Moderate Enforcement,Public Comment
Cross-Border,Long-Term,Moderate Enforcement,Direct Email to Representative
Region,Temporary,Moderate Enforcement,Public Comment
Cross-Border,Trial,Minimal,Op-ed
Province,Short-Term,Strict Enforcement,Viral Video
International,Trial,Light Enforcement,Join Advocacy Group
National,Trial,Symbolic Only,Social Media Campaign
City,Short-Term,Surveillance-Based,Join Advocacy Group
National,Temporary,Minimal,Op-ed
County,Short-Term,Symbolic Only,Meme Campaign
International,Trial,Light Enforcement,Op-ed
Cross-Border,Temporary,Strict Enforcement,Join Advocacy Group
International,Trial,Community-Enforced,Influencer Collaboration
Cross-Border,Medium-Term,Punitive,Protest
Continental,Temporary,Strict Enforcement,Petition
County,Short-Term,Punitive,Op-ed
Continental,Trial,Symbolic Only,Podcast
International,Temporary,Light Enforcement,Petition
Neighborhood,Medium-Term,Surveillance-Based,GoFundMe Awareness
International,Long-Term,Light Enforcement,Join Advocacy Group
Cross-Border,Trial,Surveillance-Based,GoFundMe Awareness
County,Medium-Term,Community-Enforced,Podcast
Province,Short-Term,Community-Enforced,Newsletter
International,Medium-Term,Strict Enforcement,Influencer Collaboration
Neighborhood,Long-Term,Surveillance-Based,GoFundMe Awareness
City,Permanent,Not Enforced,Citizen Report
State,Long-Term,Strict Enforcement,Direct Email to Representative
International,Temporary,Not Enforced,Academic Paper
Cross-Border,Short-Term,Not Enforced,Public Poll
Cross-Border,Trial,Moderate Enforcement,Documentary
Global,Permanent,Surveillance-Based,Citizen Report
International,Permanent,Punitive,Media Outreach
Neighborhood,Permanent,Moderate Enforcement,Lawsuit
Continental,Short-Term,Punitive,Academic Paper
National,Long-Term,Surveillance-Based,Academic Paper
County,Permanent,Punitive,Citizen Report
Neighborhood,Trial,Minimal,Public Comment
County,Temporary,Surveillance-Based,Protest
State,Medium-Term,Not Enforced,Influencer Collaboration
Global,Temporary,Community-Enforced,Join Advocacy Group
International,Trial,Moderate Enforcement,Public Comment
National,Long-Term,Not Enforced,Direct Email to Representative
County,Trial,Minimal,Podcast
National,Long-Term,Symbolic Only,Meme Campaign
State,Temporary,Not Enforced,Newsletter
State,Trial,Symbolic Only,Op-ed
Province,Temporary,Community-Enforced,Social Media Campaign
County,Temporary,Symbolic Only,Meme Campaign
Cross-Border,Medium-Term,Symbolic Only,Op-ed
County,Medium-Term,Surveillance-Based,Academic Paper
City,Permanent,Strict Enforcement,Direct Email to Representative
County,Medium-Term,Minimal,Podcast
State,Temporary,Symbolic Only,Podcast
Global,Medium-Term,Not Enforced,Academic Paper
Cross-Border,Short-Term,Punitive,Public Comment
Global,Permanent,Moderate Enforcement,Public Comment
Neighborhood,Medium-Term,Strict Enforcement,Media Outreach
Region,Short-Term,Not Enforced,Op-ed
Cross-Border,Temporary,Moderate Enforcement,Public Poll
Province,Long-Term,Not Enforced,Academic Paper
International,Permanent,Moderate Enforcement,Public Poll
Region,Trial,Moderate Enforcement,Lawsuit
International,Temporary,Moderate Enforcement,Town Hall
County,Short-Term,Strict Enforcement,Lawsuit
Cross-Border,Permanent,Community-Enforced,Public Comment
Cross-Border,Temporary,Light Enforcement,Academic Paper
International,Temporary,Not Enforced,Newsletter
Province,Trial,Minimal,Op-ed
City,Short-Term,Moderate Enforcement,Viral Video
Global,Trial,Not Enforced,Media Outreach
County,Short-Term,Light Enforcement,Newsletter
Province,Permanent,Surveillance-Based,Public Poll
Region,Long-Term,Symbolic Only,Meme Campaign
Neighborhood,Permanent,Symbolic Only,Op-ed
City,Trial,Strict Enforcement,Town Hall
City,Medium-Term,Strict Enforcement,Petition
National,Short-Term,Symbolic Only,Podcast
Cross-Border,Trial,Punitive,Op-ed
Cross-Border,Medium-Term,Symbolic Only,Op-ed
County,Trial,Moderate Enforcement,Lawsuit
National,Permanent,Surveillance-Based,Public Poll
City,Trial,Moderate Enforcement,Petition
Region,Trial,Moderate Enforcement,Town Hall
Province,Temporary,Surveillance-Based,Media Outreach
Cross-Border,Temporary,Strict Enforcement,Podcast
County,Trial,Minimal,Op-ed
Region,Short-Term,Not Enforced,Viral Video
Global,Permanent,Light Enforcement,Public Art
Province,Permanent,Strict Enforcement,Lawsuit
Region,Temporary,Punitive,Public Poll
Region,Medium-Term,Symbolic Only,Op-ed
Region,Medium-Term,Strict Enforcement,Petition
City,Temporary,Community-Enforced,Petition
Global,Long-Term,Symbolic Only,Op-ed
City,Short-Term,Not Enforced,Lawsuit
State,Medium-Term,Strict Enforcement,Documentary
Region,Medium-Term,Minimal,Social Media Campaign
Cross-Border,Trial,Symbolic Only,Meme Campaign
Global,Permanent,Not Enforced,Influencer Collaboration
Continental,Short-Term,Punitive,Citizen Report
Neighborhood,Permanent,Punitive,Op-ed
Global,Temporary,Symbolic Only,Social Media Campaign
Province,Trial,Surveillance-Based,Meme Campaign
National,Trial,Punitive,Lobby Group
Continental,Permanent,Not Enforced,Newsletter
Region,Short-Term,Symbolic Only,Social Media Campaign
National,Medium-Term,Moderate Enforcement,Petition
Region,Permanent,Light Enforcement,Petition
Province,Temporary,Community-Enforced,Public Art
Cross-Border,Permanent,Surveillance-Based,Meme Campaign
Cross-Border,Long-Term,Strict Enforcement,Lawsuit
State,Medium-Term,Minimal,Op-ed
International,Trial,Surveillance-Based,Influencer Collaboration
Cross-Border,Temporary,Moderate Enforcement,Documentary
Global,Trial,Not Enforced,Public Art
International,Permanent,Community-Enforced,Join Advocacy Group
County,Permanent,Symbolic Only,Op-ed
International,Trial,Symbolic Only,Meme Campaign
County,Long-Term,Surveillance-Based,Academic Paper
Province,Temporary,Community-Enforced,Public Comment
Province,Temporary,Punitive,Town Hall
International,Short-Term,Surveillance-Based,GoFundMe Awareness
County,Short-Term,Strict Enforcement,Documentary
National,Trial,Community-Enforced,Viral Video
National,Temporary,Surveillance-Based,Town Hall
City,Long-Term,Symbolic Only,Meme Campaign
Province,Permanent,Punitive,Town Hall
International,Long-Term,Community-Enforced,GoFundMe Awareness
Region,Long-Term,Strict Enforcement,Join Advocacy Group
Continental,Short-Term,Not Enforced,Protest
Continental,Short-Term,Not Enforced,Public Art
Continental,Short-Term,Not Enforced,Town Hall
State,Medium-Term,Surveillance-Based,Lawsuit
Cross-Border,Trial,Not Enforced,Viral Video
Cross-Border,Medium-Term,Not Enforced,Academic Paper
County,Permanent,Strict Enforcement,Op-ed
National,Short-Term,Community-Enforced,Join Advocacy Group
Province,Trial,Symbolic Only,Meme Campaign
County,Medium-Term,Light Enforcement,Join Advocacy Group
City,Trial,Strict Enforcement,Town Hall
International,Trial,Minimal,Social Media Campaign
State,Long-Term,Strict Enforcement,Citizen Report
Cross-Border,Trial,Moderate Enforcement,GoFundMe Awareness
International,Temporary,Moderate Enforcement,Social Media Campaign
City,Long-Term,Moderate Enforcement,Viral Video
Global,Temporary,Light Enforcement,Citizen Report
National,Long-Term,Surveillance-Based,Meme Campaign
Province,Long-Term,Light Enforcement,Media Outreach
Global,Trial,Symbolic Only,Podcast
Cross-Border,Permanent,Punitive,Join Advocacy Group
State,Temporary,Light Enforcement,Podcast
Continental,Permanent,Symbolic Only,Meme Campaign
City,Trial,Minimal,Town Hall
International,Short-Term,Symbolic Only,Social Media Campaign
Continental,Medium-Term,Surveillance-Based,Academic Paper
State,Trial,Not Enforced,Influencer Collaboration
National,Medium-Term,Light Enforcement,Social Media Campaign
Province,Permanent,Light Enforcement,Viral Video
Cross-Border,Long-Term,Community-Enforced,Public Art
Cross-Border,Medium-Term,Strict Enforcement,Media Outreach
International,Medium-Term,Surveillance-Based,Citizen Report
City,Long-Term,Surveillance-Based,Join Advocacy Group
City,Trial,Not Enforced,Petition
Global,Short-Term,Not Enforced,Viral Video
City,Medium-Term,Strict Enforcement,Lawsuit
Province,Temporary,Community-Enforced,Podcast
Cross-Border,Short-Term,Strict Enforcement,Lawsuit
Cross-Border,Long-Term,Punitive,Podcast
Cross-Border,Medium-Term,Strict Enforcement,Public Comment
Global,Temporary,Symbolic Only,Op-ed
State,Long-Term,Symbolic Only,Op-ed
Global,Medium-Term,Not Enforced,Media Outreach
Region,Long-Term,Strict Enforcement,GoFundMe Awareness
Province,Long-Term,Moderate Enforcement,Academic Paper
Region,Temporary,Punitive,Newsletter
Province,Trial,Symbolic Only,Social Media Campaign
Cross-Border,Long-Term,Light Enforcement,Documentary
City,Medium-Term,Minimal,Op-ed
State,Long-Term,Punitive,Petition
County,Long-Term,Surveillance-Based,Op-ed
Cross-Border,Long-Term,Light Enforcement,Town Hall
National,Medium-Term,Light Enforcement,Meme Campaign
International,Permanent,Surveillance-Based,Protest
Neighborhood,Long-Term,Surveillance-Based,Documentary
Neighborhood,Permanent,Community-Enforced,Public Art
Global,Temporary,Surveillance-Based,Petition
Province,Permanent,Community-Enforced,Direct Email to Representative
City,Short-Term,Symbolic Only,Meme Campaign
Neighborhood,Trial,Community-Enforced,Public Comment
Global,Short-Term,Light Enforcement,Petition
State,Trial,Punitive,Public Poll
State,Long-Term,Not Enforced,Viral Video
Neighborhood,Temporary,Symbolic Only,Public Comment
Cross-Border,Long-Term,Not Enforced,Petition
City,Long-Term,Moderate Enforcement,Newsletter
Region,Permanent,Not Enforced,Town Hall
County,Short-Term,Surveillance-Based,Documentary
Cross-Border,Medium-Term,Surveillance-Based,Influencer Collaboration
State,Medium-Term,Minimal,Meme Campaign
Cross-Border,Permanent,Punitive,Public Comment
Province,Long-Term,Strict Enforcement,Direct Email to Representative
Region,Long-Term,Symbolic Only,Meme Campaign
Region,Short-Term,Minimal,Meme Campaign
Region,Permanent,Punitive,Meme Campaign
State,Short-Term,Light Enforcement,Influencer Collaboration
Continental,Short-Term,Light Enforcement,Public Art
Region,Medium-Term,Community-Enforced,Viral Video
Neighborhood,Temporary,Minimal,Public Comment
Province,Permanent,Minimal,Op-ed
Cross-Border,Temporary,Not Enforced,Documentary
National,Short-Term,Surveillance-Based,Join Advocacy Group
State,Long-Term,Community-Enforced,Academic Paper
Neighborhood,Trial,Moderate Enforcement,Town Hall
City,Long-Term,Community-Enforced,Influencer Collaboration
Cross-Border,Trial,Light Enforcement,Meme Campaign
International,Trial,Minimal,Social Media Campaign
Region,Temporary,Surveillance-Based,Documentary
Neighborhood,Medium-Term,Surveillance-Based,Petition
Continental,Medium-Term,Minimal,Social Media Campaign
Neighborhood,Temporary,Community-Enforced,Petition
State,Medium-Term,Light Enforcement,Newsletter
State,Short-Term,Light Enforcement,Media Outreach
City,Temporary,Strict Enforcement,Town Hall
County,Long-Term,Community-Enforced,Media Outreach
Global,Temporary,Not Enforced,Direct Email to Representative
Province,Long-Term,Minimal,Op-ed
City,Temporary,Light Enforcement,Town Hall
State,Permanent,Community-Enforced,Direct Email to Representative
Global,Trial,Light Enforcement,GoFundMe Awareness
National,Permanent,Light Enforcement,Lawsuit
National,Long-Term,Community-Enforced,Town Hall
International,Long-Term,Light Enforcement,Meme Campaign
Global,Medium-Term,Not Enforced,Social Media Campaign
Province,Trial,Strict Enforcement,Join Advocacy Group
City,Permanent,Punitive,Media Outreach
Neighborhood,Permanent,Minimal,Social Media Campaign
Neighborhood,Long-Term,Not Enforced,Citizen Report
State,Medium-Term,Not Enforced,Public Art
County,Trial,Community-Enforced,GoFundMe Awareness
Region,Medium-Term,Light Enforcement,Lawsuit
Continental,Trial,Minimal,Op-ed
International,Temporary,Minimal,Social Media Campaign
Province,Long-Term,Strict Enforcement,Op-ed
Neighborhood,Temporary,Surveillance-Based,Petition
County,Permanent,Moderate Enforcement,Town Hall
Province,Medium-Term,Moderate Enforcement,Op-ed
County,Medium-Term,Moderate Enforcement,Newsletter
Continental,Short-Term,Strict Enforcement,Documentary
International,Trial,Symbolic Only,Podcast
State,Permanent,Light Enforcement,Lawsuit
Region,Short-Term,Symbolic Only,Podcast
Global,Long-Term,Punitive,Public Poll
City,Long-Term,Surveillance-Based,Op-ed
City,Temporary,Punitive,Public Comment
State,Short-Term,Light Enforcement,Protest
Cross-Border,Medium-Term,Punitive,Social Media Campaign
Province,Trial,Light Enforcement,Podcast
County,Long-Term,Symbolic Only,Social Media Campaign
Province,Long-Term,Surveillance-Based,Town Hall
Continental,Medium-Term,Punitive,Meme Campaign
Region,Short-Term,Punitive,Public Poll
Cross-Border,Medium-Term,Surveillance-Based,Social Media Campaign
Continental,Trial,Symbolic Only,Op-ed
Neighborhood,Permanent,Punitive,Lawsuit
County,Long-Term,Not Enforced,Podcast
Province,Temporary,Strict Enforcement,Lawsuit
Cross-Border,Trial,Not Enforced,GoFundMe Awareness
City,Short-Term,Moderate Enforcement,Documentary
Global,Medium-Term,Not Enforced,Newsletter
Province,Short-Term,Not Enforced,Join Advocacy Group
Global,Medium-Term,Community-Enforced,Public Poll
Region,Medium-Term,Punitive,Town Hall
County,Short-Term,Punitive,Town Hall
State,Medium-Term,Moderate Enforcement,Academic Paper
Continental,Temporary,Minimal,Social Media Campaign
Global,Medium-Term,Moderate Enforcement,Petition
County,Long-Term,Community-Enforced,Public Poll
State,Temporary,Strict Enforcement,Protest
Province,Short-Term,Minimal,Podcast
Global,Medium-Term,Surveillance-Based,Academic Paper
Global,Trial,Symbolic Only,Social Media Campaign
Neighborhood,Trial,Minimal,Town Hall
International,Permanent,Moderate Enforcement,Op-ed
Continental,Long-Term,Minimal,Op-ed
Province,Medium-Term,Not Enforced,Join Advocacy Group
Province,Temporary,Surveillance-Based,Viral Video
Region,Medium-Term,Punitive,Public Poll
County,Temporary,Moderate Enforcement,Social Media Campaign
Cross-Border,Temporary,Not Enforced,Media Outreach
National,Long-Term,Symbolic Only,Meme Campaign
State,Short-Term,Not Enforced,Meme Campaign
Continental,Long-Term,Punitive,Public Art
National,Short-Term,Punitive,Media Outreach
Continental,Temporary,Moderate Enforcement,GoFundMe Awareness
Neighborhood,Short-Term,Not Enforced,Academic Paper
City,Short-Term,Punitive,Public Comment
Region,Long-Term,Surveillance-Based,Documentary
International,Trial,Minimal,Meme Campaign
National,Trial,Strict Enforcement,Documentary
State,Short-Term,Strict Enforcement,Social Media Campaign
Province,Long-Term,Moderate Enforcement,Direct Email to Representative
Neighborhood,Permanent,Community-Enforced,GoFundMe Awareness
County,Long-Term,Punitive,Media Outreach
Province,Short-Term,Not Enforced,Public Poll
State,Temporary,Minimal,Meme Campaign
County,Short-Term,Symbolic Only,Op-ed
Region,Short-Term,Community-Enforced,Social Media Campaign
Neighborhood,Permanent,Not Enforced,Media Outreach
County,Long-Term,Moderate Enforcement,Media Outreach
Continental,Short-Term,Community-Enforced,Lawsuit
Neighborhood,Short-Term,Light Enforcement,Media Outreach
International,Trial,Punitive,Influencer Collaboration
State,Short-Term,Symbolic Only,Podcast
Province,Short-Term,Strict Enforcement,Academic Paper
Region,Trial,Symbolic Only,Meme Campaign
State,Medium-Term,Minimal,Podcast
City,Medium-Term,Surveillance-Based,Newsletter
County,Trial,Strict Enforcement,Newsletter
National,Short-Term,Strict Enforcement,Documentary
Province,Trial,Minimal,Social Media Campaign
County,Long-Term,Moderate Enforcement,Join Advocacy Group
County,Temporary,Symbolic Only,Podcast
Continental,Permanent,Light Enforcement,Social Media Campaign
Continental,Temporary,Strict Enforcement,Documentary
Global,Short-Term,Punitive,Podcast
Province,Long-Term,Moderate Enforcement,Viral Video
Cross-Border,Trial,Symbolic Only,Op-ed
International,Short-Term,Moderate Enforcement,Direct Email to Representative
Cross-Border,Temporary,Surveillance-Based,GoFundMe Awareness
Continental,Temporary,Moderate Enforcement,Podcast
Global,Long-Term,Surveillance-Based,Influencer Collaboration
County,Permanent,Community-Enforced,Public Poll
Cross-Border,Medium-Term,Surveillance-Based,Media Outreach
City,Trial,Punitive,Town Hall
State,Trial,Light Enforcement,Media Outreach
Global,Permanent,Strict Enforcement,Media Outreach
Global,Long-Term,Light Enforcement,Lawsuit
County,Long-Term,Moderate Enforcement,Newsletter
Global,Medium-Term,Strict Enforcement,GoFundMe Awareness
State,Medium-Term,Strict Enforcement,Direct Email to Representative
Continental,Medium-Term,Moderate Enforcement,Join Advocacy Group
County,Medium-Term,Symbolic Only,Op-ed
City,Short-Term,Surveillance-Based,Join Advocacy Group
Neighborhood,Medium-Term,Surveillance-Based,Public Comment
Cross-Border,Trial,Community-Enforced,Media Outreach
County,Trial,Strict Enforcement,Petition
Cross-Border,Permanent,Not Enforced,Public Art
City,Short-Term,Strict Enforcement,Meme Campaign
State,Permanent,Light Enforcement,Academic Paper
Cross-Border,Permanent,Symbolic Only,Op-ed
Region,Permanent,Not Enforced,Viral Video
County,Medium-Term,Not Enforced,Media Outreach
Continental,Short-Term,Community-Enforced,Meme Campaign
State,Long-Term,Community-Enforced,GoFundMe Awareness
Province,Temporary,Symbolic Only,Meme Campaign
Region,Long-Term,Not Enforced,Protest
State,Long-Term,Punitive,Newsletter
Continental,Temporary,Minimal,Meme Campaign
Region,Medium-Term,Not Enforced,GoFundMe Awareness
Continental,Medium-Term,Punitive,Public Art
Continental,Trial,Surveillance-Based,Academic Paper
State,Permanent,Minimal,Meme Campaign
National,Temporary,Light Enforcement,Podcast
State,Medium-Term,Moderate Enforcement,Citizen Report
Cross-Border,Temporary,Surveillance-Based,Influencer Collaboration
International,Short-Term,Symbolic Only,Meme Campaign
International,Long-Term,Symbolic Only,Podcast
Global,Short-Term,Strict Enforcement,Social Media Campaign
State,Long-Term,Community-Enforced,Viral Video
Cross-Border,Short-Term,Light Enforcement,Public Comment
State,Short-Term,Symbolic Only,Social Media Campaign
Region,Permanent,Surveillance-Based,Public Poll
State,Trial,Symbolic Only,Meme Campaign
State,Long-Term,Symbolic Only,Podcast
Global,Short-Term,Light Enforcement,Petition
Cross-Border,Permanent,Minimal,Op-ed
City,Short-Term,Minimal,Social Media Campaign
Region,Trial,Moderate Enforcement,Social Media Campaign
National,Temporary,Minimal,Social Media Campaign
National,Temporary,Punitive,Media Outreach
Province,Medium-Term,Punitive,Social Media Campaign
County,Temporary,Light Enforcement,Influencer Collaboration
International,Short-Term,Strict Enforcement,Lobby Group
Cross-Border,Temporary,Moderate Enforcement,Public Poll
Region,Medium-Term,Not Enforced,Op-ed
Neighborhood,Short-Term,Punitive,Public Art
Global,Long-Term,Symbolic Only,Meme Campaign
Province,Medium-Term,Moderate Enforcement,Viral Video
Region,Long-Term,Light Enforcement,Public Poll
State,Temporary,Light Enforcement,Protest
National,Temporary,Symbolic Only,Social Media Campaign
Continental,Long-Term,Strict Enforcement,Podcast
Continental,Trial,Surveillance-Based,Newsletter
Province,Permanent,Light Enforcement,Documentary
Global,Short-Term,Punitive,Influencer Collaboration
Continental,Short-Term,Light Enforcement,Social Media Campaign
Neighborhood,Short-Term,Symbolic Only,Meme Campaign
State,Short-Term,Symbolic Only,Op-ed
Global,Permanent,Minimal,Meme Campaign
Region,Long-Term,Light Enforcement,Viral Video
Global,Medium-Term,Strict Enforcement,Direct Email to Representative
Global,Medium-Term,Punitive,Public Poll
Continental,Temporary,Strict Enforcement,Protest
National,Temporary,Not Enforced,Public Art
Region,Medium-Term,Moderate Enforcement,Petition
Continental,Trial,Symbolic Only,Meme Campaign
Neighborhood,Trial,Light Enforcement,Petition
State,Medium-Term,Minimal,Social Media Campaign
Neighborhood,Long-Term,Strict Enforcement,Protest
Global,Long-Term,Strict Enforcement,Protest
State,Permanent,Strict Enforcement,Public Art
International,Trial,Moderate Enforcement,Academic Paper
International,Short-Term,Community-Enforced,Direct Email to Representative
International,Short-Term,Minimal,Podcast
City,Temporary,Surveillance-Based,Petition
Neighborhood,Permanent,Minimal,Podcast
International,Medium-Term,Surveillance-Based,Direct Email to Representative
Global,Long-Term,Surveillance-Based,Protest
Region,Trial,Community-Enforced,Public Comment
Continental,Temporary,Punitive,Documentary
Province,Short-Term,Moderate Enforcement,GoFundMe Awareness
Cross-Border,Permanent,Surveillance-Based,Media Outreach
Global,Medium-Term,Symbolic Only,Podcast
National,Long-Term,Minimal,Meme Campaign
Continental,Permanent,Strict Enforcement,Direct Email to Representative
County,Medium-Term,Light Enforcement,Protest
City,Long-Term,Community-Enforced,Public Poll
City,Permanent,Community-Enforced,Op-ed
State,Trial,Strict Enforcement,Social Media Campaign
Continental,Short-Term,Minimal,Meme Campaign
International,Trial,Minimal,Podcast
State,Permanent,Moderate Enforcement,Op-ed
Province,Trial,Surveillance-Based,Media Outreach
International,Short-Term,Minimal,Meme Campaign
Neighborhood,Trial,Punitive,Public Comment
National,Medium-Term,Strict Enforcement,Lobby Group
Neighborhood,Trial,Symbolic Only,Town Hall
Province,Permanent,Minimal,Op-ed
International,Medium-Term,Not Enforced,Petition
Neighborhood,Medium-Term,Light Enforcement,Social Media Campaign
County,Permanent,Surveillance-Based,Lawsuit
Global,Trial,Moderate Enforcement,Viral Video
Neighborhood,Permanent,Punitive,Join Advocacy Group
City,Permanent,Minimal,Meme Campaign
National,Permanent,Minimal,Op-ed
Province,Short-Term,Strict Enforcement,Lawsuit
State,Permanent,Not Enforced,Documentary
Province,Permanent,Surveillance-Based,Academic Paper
National,Short-Term,Minimal,Podcast
Continental,Trial,Punitive,Town Hall
Global,Permanent,Strict Enforcement,Public Comment
Neighborhood,Long-Term,Strict Enforcement,Documentary
Province,Short-Term,Not Enforced,Viral Video
State,Short-Term,Punitive,Newsletter
Neighborhood,Short-Term,Surveillance-Based,Podcast
National,Permanent,Moderate Enforcement,Social Media Campaign
County,Long-Term,Community-Enforced,Social Media Campaign
Region,Long-Term,Strict Enforcement,Social Media Campaign
Cross-Border,Permanent,Punitive,Lawsuit
Province,Medium-Term,Community-Enforced,Op-ed
National,Permanent,Moderate Enforcement,Citizen Report
International,Short-Term,Symbolic Only,Social Media Campaign
Global,Medium-Term,Surveillance-Based,Public Comment
City,Temporary,Punitive,Town Hall
Cross-Border,Trial,Minimal,Meme Campaign
State,Medium-Term,Community-Enforced,Direct Email to Representative
County,Permanent,Surveillance-Based,Op-ed
Region,Long-Term,Light Enforcement,Social Media Campaign
Neighborhood,Medium-Term,Community-Enforced,Public Comment
County,Long-Term,Strict Enforcement,Public Poll
City,Trial,Moderate Enforcement,Town Hall
International,Short-Term,Minimal,Meme Campaign
Region,Short-Term,Symbolic Only,Meme Campaign
Global,Trial,Punitive,Podcast
Province,Permanent,Symbolic Only,Op-ed
National,Long-Term,Minimal,Social Media Campaign
National,Trial,Light Enforcement,Media Outreach
Neighborhood,Long-Term,Punitive,Newsletter
International,Medium-Term,Punitive,Lobby Group
Region,Permanent,Surveillance-Based,Petition
International,Permanent,Community-Enforced,Public Art
Global,Temporary,Light Enforcement,Meme Campaign
Continental,Medium-Term,Surveillance-Based,Citizen Report
Neighborhood,Short-Term,Moderate Enforcement,GoFundMe Awareness
